6;9232;2019-08-14 00:01:00;535.9645;2;22567
80;7732;2019-02-24 00:27:00;265.5619;2;24477
83;8973;2020-01-28 21:49:00;603.5798;2;21929
94;5345;2019-01-05 17:51:00;595.2367;2;7820
98;7068;2020-02-21 23:43:00;429.0989;2;17243
112;9130;2020-02-23 15:07:00;459.2766;2;22299
132;7212;2019-03-12 23:21:00;404.9269;2;17584
133;8564;2019-10-24 01:05:00;726.4714;2;20930
145;8337;2019-05-05 06:58:00;919.7324;2;20375
153;9543;2019-07-22 05:21:00;494.8559;2;23341
161;8357;2019-05-07 12:08:00;486.1521;2;20422
162;9116;2019-08-13 02:39:00;267.5127;2;22269
165;771;2019-02-04 13:31:00;859.6575;2;1843
167;4141;2019-11-03 06:44:00;1080.5009;2;15327
177;2922;2019-01-25 21:54:00;357.2846;2;12347
207;1855;2019-02-20 01:48:00;1043.4256;2;4492
209;996;2020-02-12 01:31:00;160.7928;2;2393
222;3528;2019-02-28 23:10:00;532.4949;2;13832
264;5016;2019-01-26 09:54:00;482.4257;2;6982
267;2027;2019-04-20 18:22:00;1187.1884;2;4937
268;5640;2019-02-24 05:55:00;568.3103;2;8582
280;5471;2019-05-27 05:13:00;651.2368;2;8156
285;3246;2019-09-20 17:07:00;386.6889;2;13159
289;5534;2019-11-01 09:46:00;101.0598;2;8325
290;1572;2019-10-01 23:29:00;346.6763;2;3812
309;5586;2019-02-21 23:34:00;422.1387;2;8459
313;7188;2020-01-26 01:34:00;304.5942;2;17535
325;2136;2019-12-19 13:19:00;614.2570;2;5200
329;1477;2019-08-02 02:10:00;341.6646;2;3574
336;1088;2020-03-24 03:48:00;520.7962;2;2613
347;440;2019-08-11 20:54:00;433.1055;2;1028
356;4607;2019-02-24 12:14:00;307.9294;2;5953
357;1775;2019-06-02 22:01:00;990.9946;2;4301
362;4388;2019-07-05 23:31:00;422.8720;2;5437
367;2902;2019-03-27 20:15:00;699.8636;2;12297
368;9037;2019-03-17 20:13:00;1584.8689;2;22095
377;6225;2019-08-31 02:03:00;328.7748;2;10007
378;3117;2019-09-19 21:05:00;159.4482;2;12830
388;8256;2019-11-29 03:11:00;113.9394;2;20175
393;3263;2019-05-01 21:03:00;953.8743;2;13202
400;1204;2019-02-15 23:28:00;780.2749;2;2896
402;1695;2019-12-13 17:30:00;456.5542;2;4097
414;8261;2019-06-26 08:15:00;451.8995;2;20188
414;8261;2019-06-26 08:15:00;451.8995;2;20188
420;1427;2019-12-20 14:34:00;186.1669;2;3458
435;2970;2019-09-23 18:47:00;351.3080;2;12467
446;4541;2019-04-13 04:04:00;119.4741;2;5804
499;912;2020-01-18 10:06:00;462.9527;2;2187
535;2976;2019-09-05 04:33:00;370.5733;2;12485
536;4833;2019-11-03 01:20:00;298.5728;2;6524
557;3362;2019-10-03 02:19:00;977.0724;2;24481
564;8442;2019-11-23 16:08:00;844.7352;2;20626
565;9337;2019-05-15 06:28:00;1493.9948;2;22818
591;230;2019-02-05 14:04:00;877.4297;2;525
596;4354;2020-01-20 09:50:00;653.4640;2;5361
617;3324;2020-03-16 21:33:00;292.9382;2;13347
626;7623;2020-01-16 05:10:00;702.9620;2;24503
665;2812;2019-06-05 19:42:00;756.5752;2;12106
669;8938;2019-09-30 16:49:00;637.3157;2;21843
671;5317;2019-01-19 14:18:00;640.3226;2;7739
749;7065;2019-12-31 08:51:00;1219.5957;2;17238
761;4993;2019-10-22 01:04:00;139.0315;2;6931
765;3872;2019-08-05 23:01:00;674.6039;2;14678
775;9192;2019-05-01 14:19:00;449.5656;2;22461
778;5490;2020-03-23 18:23:00;665.0850;2;8201
787;968;2019-08-07 06:22:00;1635.7486;2;2314
793;5877;2019-01-18 07:44:00;190.2637;2;9162
805;4405;2020-02-10 11:48:00;552.8157;2;5482
814;104;2019-08-05 05:20:00;379.5025;2;249
817;8016;2019-07-24 01:24:00;200.5321;2;19589
822;3187;2019-01-27 01:26:00;925.5997;2;13000
849;259;2019-08-05 05:51:00;168.8181;2;590
859;1503;2019-06-29 09:49:00;684.4061;2;3635
883;3353;2020-02-04 04:54:00;465.8962;2;13402
883;3353;2020-02-04 04:54:00;465.8962;2;13402
894;4002;2019-08-04 00:47:00;1152.8441;2;14991
907;4392;2019-02-20 18:23:00;315.0825;2;5451
960;5042;2019-07-16 06:59:00;343.9052;2;7051
1025;8740;2019-03-19 08:39:00;163.7319;2;21353
1053;558;2020-03-05 07:41:00;46.9051;2;1328
1056;4052;2020-02-02 04:11:00;294.1672;2;15109
1080;8895;2019-03-20 09:33:00;356.3640;2;21723
1099;8810;2019-05-26 05:19:00;2057.6616;2;21534
1102;3993;2020-03-08 14:29:00;850.1773;2;14973
1109;2791;2019-11-20 13:52:00;544.8111;2;12053
1116;5822;2019-02-12 18:06:00;189.7650;2;9027
1130;3574;2019-04-10 08:47:00;295.3430;2;13945
